avg_framerate,avg_frametime,max_frametime,min_frametime,stdev_frametime,AppMotionToPhotonLatency,entropy_framerate,label
0,100001,100001,100001,100001,0.2730858,1660982.1,1
0,100001,100001,100001,100001,0.2626877,1660982.1,1
0,100001,100001,100001,100001,0.2581069,1660982.1,1
0,100001,100001,100001,100001,0.2358328,1660982.1,1
0,100001,100001,100001,100001,0.237913,1660982.1,1
0,100001,100001,100001,100001,0.2379536,1660982.1,1
0,100001,100001,100001,100001,0.2373982,1660982.1,1
0,100001,100001,100001,100001,0.249255,1660982.1,1
0,100001,100001,100001,100001,0.2526421,1660982.1,1
0,100001,100001,100001,100001,0.2441934,1660982.1,1
0,100001,100001,100001,100001,0.2641995,1660982.1,1
0,100001,100001,100001,100001,0.2668058,1660982.1,1
0,100001,100001,100001,100001,0.2673925,1660982.1,1
0,100001,100001,100001,100001,0.2797142,1660982.1,1
0,100001,100001,100001,100001,0.2801425,1660982.1,1
0,100001,100001,100001,100001,0.2701683,1660982.1,1
0,100001,100001,100001,100001,0.2619303,1660982.1,1
0,100001,100001,100001,100001,0.2756913,1660982.1,1
0,100001,100001,100001,100001,0.2847548,1660982.1,1
0,100001,100001,100001,100001,0.2984942,1660982.1,1
0,100001,100001,100001,100001,0.2865001,1660982.1,1
0,100001,100001,100001,100001,0.2889205,1660982.1,1
0,100001,100001,100001,100001,0.2790683,1660982.1,1
0,100001,100001,100001,100001,0.3018584,1660982.1,1
0,100001,100001,100001,100001,0.3060736,1660982.1,1
0,100001,100001,100001,100001,0.9099105,1660982.1,1
4,11893.233,47205.98,25.173,24542.03706,0.7990619,161008.8439,1
0,100001,100001,100001,100001,0.811533,1660982.1,1
0,100001,100001,100001,100001,0.4999346,1660982.1,1
0,100001,100001,100001,100001,0.5215893,1660982.1,1
0,100001,100001,100001,100001,0.5640363,1660982.1,1
0,100001,100001,100001,100001,0.546189,1660982.1,1
0,100001,100001,100001,100001,0.5449938,1660982.1,1
0,100001,100001,100001,100001,0.5593017,1660982.1,1
0,100001,100001,100001,100001,0.5838039,1660982.1,1
0,100001,100001,100001,100001,0.600809,1660982.1,1
0,100001,100001,100001,100001,0.5667964,1660982.1,1
0,100001,100001,100001,100001,0.4590204,1660982.1,1
0,100001,100001,100001,100001,0.4211869,1660982.1,1
0,100001,100001,100001,100001,0.3696689,1660982.1,1
0,100001,100001,100001,100001,0.3607132,1660982.1,1
0,100001,100001,100001,100001,0.324558,1660982.1,1
0,100001,100001,100001,100001,0.3357921,1660982.1,1
0,100001,100001,100001,100001,0.3515377,1660982.1,1
0,100001,100001,100001,100001,0.3612836,1660982.1,1
0,100001,100001,100001,100001,0.4168676,1660982.1,1
0,100001,100001,100001,100001,0.504918,1660982.1,1
0,100001,100001,100001,100001,0.5378695,1660982.1,1
0,100001,100001,100001,100001,0.4862355,1660982.1,1
0,100001,100001,100001,100001,0.3910361,1660982.1,1
0,100001,100001,100001,100001,0.3216259,1660982.1,1
0,100001,100001,100001,100001,0.3074603,1660982.1,1
0,100001,100001,100001,100001,0.3087261,1660982.1,1
0,100001,100001,100001,100001,0.358845,1660982.1,1
0,100001,100001,100001,100001,0.4528156,1660982.1,1
0,100001,100001,100001,100001,0.542567,1660982.1,1
0,100001,100001,100001,100001,0.5621729,1660982.1,1
0,100001,100001,100001,100001,0.4765528,1660982.1,1
0,100001,100001,100001,100001,0.4012764,1660982.1,1
0,100001,100001,100001,100001,0.3554446,1660982.1,1
0,100001,100001,100001,100001,0.3534434,1660982.1,1
0,100001,100001,100001,100001,0.3645972,1660982.1,1
0,100001,100001,100001,100001,0.4285048,1660982.1,1
0,100001,100001,100001,100001,0.4914995,1660982.1,1
0,100001,100001,100001,100001,0.5722445,1660982.1,1
0,100001,100001,100001,100001,0.621228,1660982.1,1
0,100001,100001,100001,100001,0.6062926,1660982.1,1
0,100001,100001,100001,100001,0.5744549,1660982.1,1
0,100001,100001,100001,100001,0.5595652,1660982.1,1
0,100001,100001,100001,100001,0.5415405,1660982.1,1
0,100001,100001,100001,100001,0.5768154,1660982.1,1
0,100001,100001,100001,100001,0.5314146,1660982.1,1
0,100001,100001,100001,100001,0.5615524,1660982.1,1
2,23666.708,47205.98,127.435,23539.2725,0.5307612,343890.7909,1
52,19.218,127.435,10.744,65.06345268,0.0368037,81.95297589,0
58,17.39,36.658,11.304,13.23581339,0.0364972,71.65003502,0
