avg_framerate,avg_frametime,max_frametime,min_frametime,stdev_frametime,entropy_framerate,AppMotionToPhotonLatency,label
80,12.509225,28.73,4.423,12.37827953,19.63675396,0.0373268,0
70,14.41892,80.089,4.334,41.13612574,23.90740411,0.0373099,0
76,13.20723,42.951,3.579,20.52457491,21.17804535,0.037296,0
76,13.266,46.969,3.623,22.75871765,21.30888115,0.0372856,0
79,12.74221,30.161,4.245,13.21145891,20.1485911,0.0371269,0
80,12.5203,29.83,4.323,13.02195896,19.66102363,0.0372187,0
80,12.5073,29.561,3.545,13.21604934,19.63253615,0.0373029,0
81,12.49487,29.215,3.53,13.03617318,19.6053056,0.0372514,0
72,14.01308,121.444,4.812,64.84479659,22.98591782,0.0371744,0
66,15.29,121.44,4.414,64.65445918,25.90896654,0.037144,0
80,12.5248,29.509,4.056,12.96173106,19.67088663,0.0371207,0
80,12.6149,30.649,3.723,13.719233,19.86857679,0.0371041,0
79,12.679,31.102,5.177,13.3403683,20.00946343,0.037159,0
80,12.4886,29.375,5.088,12.44841191,19.59157275,0.0372227,0
78,12.824,30.651,6.194,12.64847605,20.32890309,0.0372373,0
78,12.853,30.864,6.007,12.83961504,20.39291364,0.0371963,0
80,12.5082,30.25,4.801,13.05005747,19.63450809,0.0371582,0
80,12.506,29.809,4.478,12.94541202,19.62968787,0.0372376,0
80,12.517,30.11,4.305,13.18363011,19.6537914,0.0372584,0
79,12.755,30.913,6.792,12.56379039,20.17676612,0.0372306,0
80,12.5319,29.73,4.498,12.89038412,19.6864503,0.0371692,0
66,15.2698,103.35,4.137,54.35267586,25.86219488,0.0372303,0
78,12.82107,32.137,6.588,13.32108426,20.32243809,0.0373971,0
79,12.6844,31.131,6.027,13.00518385,20.0213414,0.0373834,0
80,12.548,29.184,4.602,12.54438876,19.72175182,0.037279,0
80,12.504,29.919,4.681,12.91922468,19.62530606,0.0373224,0
80,12.494,30.077,4.475,13.09534685,19.60339997,0.0373322,0
79,12.657,32.406,4.861,14.19816679,19.96108645,0.0369224,0
80,12.535,29.335,4.56,12.64674695,19.69324648,0.0372681,0
66,15.2621,107.916,3.537,57.17983152,25.84437045,0.0372868,0
55,18.34,46.283,4.648,21.22009793,33.1498399,0.0373103,0
80,12.633,32.279,6.269,13.55842857,19.90833867,0.0372539,0
79,12.7066,31.406,4.627,13.73597671,20.07018808,0.0371488,0
80,12.516,28.556,3.928,12.50049151,19.65159992,0.0371945,0
80,12.5218,29.053,3.561,12.93199246,19.66431118,0.0371263,0
80,12.54108,30.601,3.147,13.95308547,19.70657717,0.0371397,0
79,12.7933,31.322,4.594,13.69262106,20.26118461,0.0370507,0
79,13.6706,104.703,4.803,55.2954823,22.21396847,0.0370498,0
66,15.33,104.703,4.39,55.03016551,26.00163258,0.0369806,0
80,12.6199,31.303,4.14,13.89721494,19.87955912,0.0369706,0
80,12.5388,30.117,5.039,12.87210291,19.70157795,0.0368551,0
80,12.519,30.27,4.332,13.25961798,19.6581745,0.036931,0
80,12.545,29.645,3.999,13.05859508,19.71517292,0.0368802,0
81,12.463,30.071,3.441,13.54372578,19.53552272,0.036862,0
80,12.52,30.913,4.855,13.39200034,19.66036613,0.0367942,0
80,12.501175,29.105,4.874,12.38952625,19.61911708,0.0368638,0
80,12.4956,30.389,4.798,13.12964896,19.60690461,0.0370071,0
80,12.5159,29.656,4.085,13.03034371,19.65138077,0.0369565,0
80,12.51572,30.107,3.611,13.48323148,19.65098631,0.036895,0
74,13.75,105.922,3.672,56.3505489,22.39246606,0.0368125,0
66,15.3173,105.922,4.091,55.8342697,25.97220407,0.0367979,0
80,12.5117,29.11,4.199,12.68307577,19.64217713,0.03686,0
80,12.508,28.643,4.233,12.41411797,19.63406988,0.0366982,0
80,12.5,28.187,4.609,12.00188828,19.61654302,0.0367396,0
71,14.15277,108.853,4.074,57.80477778,23.3022794,0.0367405,0
21,49.0556666,66.017,32.208,16.90453185,118.6572876,0.036659,0
21,49.872,95.369,7.398,43.99415591,121.1432723,0.0365028,0
20,50.7726,65.881,34.446,15.72143358,123.8955018,0.0364512,0
20,50.0247,65.634,33.443,16.0979476,121.6092164,0.0364493,0
20,50.009,65.733,34.164,15.78453865,121.5612965,0.03644,0
37,27.215,64.683,6.962,29.28523198,55.86550023,0.036372,0
79,12.7965,31.332,6.002,13.11067562,20.26824108,0.036217,0
71,14.084,101.159,6.292,52.66643235,23.14642562,0.0362127,0
71,14.22,50.857,6.273,23.78079629,23.45484378,0.0361618,0
79,12.6756,32.018,5.748,13.61514463,20.00198543,0.0355232,0
80,12.4987,30.197,4.86,12.99707101,19.61369521,0.0360315,0
80,12.503475,29.483,5.058,12.51878583,19.62415586,0.0360601,0
79,12.66,31.006,6.123,12.90007606,19.96768191,0.0360874,0
79,12.6746,28.657,4.808,12.15247099,19.99978613,0.0359955,0
80,12.639,30.958,5.894,12.96973967,19.92152296,0.0360225,0
80,12.515,29.933,6.005,12.37144567,19.64940849,0.035987,0
80,12.515,29.099,5.068,12.30159763,19.64940849,0.0360459,0
81,12.484,30.507,4.894,13.15587573,19.58149886,0.0359886,0
80,12.51788,29.225,4.493,12.61743755,19.65571994,0.03594,0
73,14,108.531,4.914,57.38052522,22.95633918,0.0359633,0
72,13.9868,38.218,6.274,16.66862059,22.92649688,0.0358406,0
78,12.852,30.747,6.177,12.70479929,20.3907057,0.0358613,0
79,12.6639,31.072,5.797,13.06929025,19.97625667,0.0358182,0
79,12.7016,30.165,5.206,12.80693848,20.05918447,0.0358282,0
77,12.9948,36.178,4.71,16.31121137,20.70648684,0.035676,0
80,12.5,29.533,4.184,12.92188548,19.61654302,0.0357668,0
80,12.49766,29.048,4.655,12.45284117,19.61141702,0.035674,0
80,12.5234,28.894,4.75,12.32446772,19.66781803,0.035695,0
80,12.61455,29.859,6.095,12.27873015,19.86780807,0.0355946,0
78,12.815679,29.716,6.42,12.03625894,20.310544,0.0355994,0
60,16.715,112.564,6.903,58.37744009,29.24907082,0.035567,0
23,44.044,66.879,16.864,25.03893585,103.585773,0.0356339,0
23,46.311,134.033,6.523,65.23934693,110.361673,0.0354897,0
23,44.314,89.019,5.554,41.76777236,104.3890515,0.0355469,0
71,14.08788,57.9,4.878,28.33036131,23.15521334,0.0355053,0
62,16.11367,135.999,5.744,72.39519716,27.82999716,0.0354591,0
80,12.583875,32.149,4.445,14.23930604,19.80045895,0.0354977,0
78,12.884,30.914,5.994,12.86830344,20.46138366,0.0355195,0
